format1,format2,format3,format4,format5,format6,format7,format8,format9,format10,format11
24.10.2020,22.11.2014 16:00:00,2013-12-03 16:00:00,22/09/2016 16:00,22 May 2016 04:00 PM,"Tuesday, 23 February 2016 16:00:00",03/17/2015,"Oct 16, 2014",2021/03/25 04:00 PM,10-04-2019 16:00,2014.08.14
24.10.2020,22.11.2014 17:00:00,2013-12-03 17:00:00,22/09/2016 17:00,22 May 2016 05:00 PM,"Tuesday, 23 February 2016 17:00:00",03/17/2015,"Oct 16, 2014",2021/03/25 05:00 PM,10-04-2019 17:00,2014.08.14
24.10.2020,22.11.2014 18:00:00,2013-12-03 18:00:00,22/09/2016 18:00,22 May 2016 06:00 PM,"Tuesday, 23 February 2016 18:00:00",03/17/2015,"Oct 16, 2014",2021/03/25 06:00 PM,10-04-2019 18:00,2014.08.14
24.10.2020,22.11.2014 19:00:00,2013-12-03 19:00:00,22/09/2016 19:00,22 May 2016 07:00 PM,"Tuesday, 23 February 2016 19:00:00",03/17/2015,"Oct 16, 2014",2021/03/25 07:00 PM,10-04-2019 19:00,2014.08.14
24.10.2020,22.11.2014 20:00:00,2013-12-03 20:00:00,22/09/2016 20:00,22 May 2016 08:00 PM,"Tuesday, 23 February 2016 20:00:00",03/17/2015,"Oct 16, 2014",2021/03/25 08:00 PM,10-04-2019 20:00,2014.08.14
24.10.2020,22.11.2014 21:00:00,2013-12-03 21:00:00,22/09/2016 21:00,22 May 2016 09:00 PM,"Tuesday, 23 February 2016 21:00:00",03/17/2015,"Oct 16, 2014",2021/03/25 09:00 PM,10-04-2019 21:00,2014.08.14
24.10.2020,22.11.2014 22:00:00,2013-12-03 22:00:00,22/09/2016 22:00,22 May 2016 10:00 PM,"Tuesday, 23 February 2016 22:00:00",03/17/2015,"Oct 16, 2014",2021/03/25 10:00 PM,10-04-2019 22:00,2014.08.14
24.10.2020,22.11.2014 23:00:00,2013-12-03 23:00:00,22/09/2016 23:00,22 May 2016 11:00 PM,"Tuesday, 23 February 2016 23:00:00",03/17/2015,"Oct 16, 2014",2021/03/25 11:00 PM,10-04-2019 23:00,2014.08.14
25.10.2020,23.11.2014 00:00:00,2013-12-04 00:00:00,23/09/2016 00:00,23 May 2016 12:00 AM,"Wednesday, 24 February 2016 00:00:00",03/18/2015,"Oct 17, 2014",2021/03/26 12:00 AM,10-05-2019 00:00,2014.08.15
25.10.2020,23.11.2014 01:00:00,2013-12-04 01:00:00,23/09/2016 01:00,23 May 2016 01:00 AM,"Wednesday, 24 February 2016 01:00:00",03/18/2015,"Oct 17, 2014",2021/03/26 01:00 AM,10-05-2019 01:00,2014.08.15
